Results,Year,Age,Previous marathons,GDP,Weight,Height,Last Time
7577.0,2012,28,4,50412754821.9795,,,7597.0
7597.0,2012,28,4,50412754821.9795,,,7567.0
7620.0,2014,28,4,61445345999.0765,,,7577.0
7567.0,2011,38,4,41953433591.4101,,,7630.0
7630.0,2011,38,4,41953433591.4101,,,7631.0
7631.0,2010,38,4,39999659233.7555,,,7687.0
7687.0,2009,38,4,37021512048.8158,,,
7567.0,2016,30,2,70529014778.3251,,,7638.0
7638.0,2015,30,2,63767539356.6051,,,
7567.0,2017,28,1,,,,
7570.0,2016,35,1,863711710426.514,,,
7570.0,2017,28,3,,,,7634.0
7634.0,2015,28,3,63767539356.6051,,,7664.0
7664.0,2013,28,3,55097343447.5616,,,
7571.0,2012,37,3,50412754821.9795,,,
7619.0,2013,37,3,55097343447.5616,,,7571.0
7655.0,2014,37,3,61445345999.0765,,,7619.0
7571.0,2016,33,2,70529014778.3251,,,
7680.0,2016,33,2,70529014778.3251,,,7571.0
7572.0,2012,29,4,50412754821.9795,,,
7586.0,2013,29,4,55097343447.5616,,,7572.0
7599.0,2014,29,4,61445345999.0765,,,7657.0
7657.0,2014,29,4,61445345999.0765,,,7586.0
7573.0,2011,41,1,41953433591.4101,,,
7573.0,2011,32,4,31952763089.33,,,7649.0
7628.0,2014,32,4,55612228233.5179,,,7573.0
7649.0,2010,32,4,29933790334.3418,,,
7695.0,2015,32,4,64464547915.2698,,,7628.0
7573.0,2012,39,3,50412754821.9795,,,7575.0
7575.0,2011,39,3,41953433591.4101,,,7704.0
7704.0,2009,39,3,37021512048.8158,,,
7573.0,2015,31,3,63767539356.6051,,,7648.0
7648.0,2014,31,3,61445345999.0765,,,7686.0
7686.0,2014,31,3,61445345999.0765,,,
7574.0,2004,41,6,16095337093.8366,,,7602.0
7599.0,2006,41,6,25825524820.8064,,,7622.0
7602.0,2003,41,6,14904517649.8476,,,
7604.0,2004,41,6,16095337093.8366,,,7574.0
7622.0,2005,41,6,18737897744.7948,,,7604.0
7667.0,2007,41,6,31958195182.2406,,,7599.0
7574.0,2009,35,7,37021512048.8158,,,
7604.0,2014,35,7,61445345999.0765,,,7697.0
7619.0,2010,35,7,39999659233.7555,,,7574.0
7655.0,2012,35,7,50412754821.9795,,,7689.0
7664.0,2015,35,7,63767539356.6051,,,7604.0
7689.0,2012,35,7,50412754821.9795,,,7619.0
7697.0,2013,35,7,55097343447.5616,,,7655.0
7575.0,2003,41,1,14904517649.8476,,,
7575.0,2009,31,4,32437389116.038,,,
7629.0,2015,31,4,64464547915.2698,,,7652.0
7652.0,2014,31,4,55612228233.5179,,,7668.0
7668.0,2012,31,4,43310721414.0829,,,7575.0
7576.0,1999,56,3,12896013576.7324,,,7654.0
7654.0,1998,56,3,14093998843.7334,,,
7667.0,2000,56,3,12705357103.0056,,,7576.0
7576.0,2002,45,5,13147743910.7241,,,
7634.0,2005,45,5,18737897744.7948,,,7664.0
7660.0,2006,45,5,25825524820.8064,,,7634.0
7661.0,2003,45,5,14904517649.8476,,,7576.0
7664.0,2004,45,5,16095337093.8366,,,7661.0
7576.0,2002,51,4,4115116279069.77,64.0,186.0,
7661.0,2005,51,4,4755410630912.14,64.0,186.0,7670.0
7670.0,2004,51,4,4815148854362.11,64.0,186.0,7679.0
7679.0,2003,51,4,4445658071221.86,64.0,186.0,7576.0
7577.0,2012,34,3,43310721414.0829,,,
7646.0,2013,34,3,47648211133.2183,,,7577.0
7653.0,2015,34,3,64464547915.2698,,,7646.0
7577.0,2014,33,1,55612228233.5179,,,
7578.0,2009,40,1,37021512048.8158,,,
7579.0,2015,35,12,63767539356.6051,,,7582.0
7582.0,2014,35,12,61445345999.0765,,,7678.0
7589.0,2011,35,12,41953433591.4101,,,7636.0
7600.0,2012,35,12,50412754821.9795,,,7589.0
